"dates","strig"
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,1.27857142857143
2020-02-02,1.79
2020-02-09,1.79
2020-02-16,1.79
2020-02-23,1.79
2020-03-01,7.91
2020-03-08,8.93
2020-03-15,16.4114285714286
2020-03-22,46.8542857142857
2020-03-29,58.5042857142857
2020-04-05,65.8185714285714
2020-04-12,70.83
2020-04-19,70.83
2020-04-26,70.83
2020-05-03,70.83
2020-05-10,73.38
2020-05-17,74.4
2020-05-24,74.4
2020-05-31,74.4
2020-06-07,73.8914285714286
2020-06-14,72.62
2020-06-21,72.62
2020-06-28,72.62
2020-07-05,72.62
2020-07-12,69.0457142857143
2020-07-19,68.45
2020-07-26,68.45
2020-08-02,67.43
2020-08-09,63.8628571428571
2020-08-16,62.0771428571429
2020-08-23,61.31
2020-08-30,61.31
2020-09-06,63.86
2020-09-13,64.88
2020-09-20,64.88
2020-09-27,64.88
2020-10-04,53.66
2020-10-11,47.87
2020-10-18,45.83
2020-10-25,45.83
2020-11-01,45.83
2020-11-08,49.9142857142857
2020-11-15,51.19
2020-11-22,51.19
2020-11-29,51.19
2020-12-06,55.7842857142857
2020-12-13,58.59
2020-12-20,58.93
2020-12-27,58.93
2021-01-03,58.93
2021-01-10,56.55
2021-01-17,56.55
2021-01-24,56.55
2021-01-31,55.0157142857143
2021-02-07,54.76
2021-02-14,54.76
2021-02-21,54.76
2021-02-28,54.76
2021-03-07,54.76
2021-03-14,55.9857142857143
2021-03-21,56.19
2021-03-28,58.97
2021-04-04,67.58
2021-04-11,69.57
2021-04-18,70.42
2021-04-25,72.12
2021-05-02,71.6914285714286
2021-05-09,72.5
2021-05-16,72.5
2021-05-23,72.5
2021-05-30,72.5
2021-06-06,72.5
2021-06-13,68.93
2021-06-20,68.93
2021-06-27,68.93
2021-07-04,69.95
2021-07-11,68.33
2021-07-18,68.33
2021-07-25,68.33
2021-08-01,61.7042857142857
2021-08-08,60.6
2021-08-15,60.6
2021-08-22,64.8342857142857
2021-08-29,65.54
2021-09-05,67.24
2021-09-12,67.92
2021-09-19,67.92
2021-09-26,67.92
2021-10-03,67.92
2021-10-10,66.3857142857143
2021-10-17,60.2671428571429
2021-10-24,57.1614285714286
2021-10-31,53.25
2021-11-07,52.74
2021-11-14,52.74
2021-11-21,52.74
2021-11-28,56.1357142857143
2021-12-05,56.1171428571429
2021-12-12,56.0971428571429
2021-12-19,56.08
2021-12-26,62.7685714285714
2022-01-02,64.0828571428571
2022-01-09,64.0057142857143
2022-01-16,63.9457142857143
2022-01-23,63.8585714285714
2022-01-30,63.7657142857143
2022-02-06,63.5857142857143
2022-02-13,63.3714285714286
2022-02-20,63.0728571428571
2022-02-27,62.7971428571429
2022-03-06,62.7257142857143
2022-03-13,66.1942857142857
2022-03-20,57.5257142857143
2022-03-27,58.7
2022-04-03,58.7
2022-04-10,55.64
2022-04-17,55.13
2022-04-24,55.13
2022-05-01,55.13
2022-05-08,55.1271428571429
2022-05-15,55.1057142857143
2022-05-22,49.9714285714286
2022-05-29,49.07
2022-06-05,49.07
2022-06-12,48.05
2022-06-19,47.8785714285714
2022-06-26,47.87
2022-07-03,47.87
2022-07-10,46.3357142857143
2022-07-17,45.24
2022-07-24,44.61
2022-07-31,41.55
2022-08-07,38.8285714285714
2022-08-14,33.3
2022-08-21,33.3
2022-08-28,36.6171428571429
2022-08-31,41.04
